Date_Opened,Change_Control,Days_Open
9/,23194,1
9/,23195,6
9/,23196,0
9/,23197,0
9/,23197,0
9/,23198,0
9/,23199,3
9/1,23200,1
9/1,23200,1
9/1,23201,1
9/1,23201,1
9/1,23202,1
9/1,23202,1
9/1,23202,1
9/1,23202,1
9/1,23202,1
9/1,23203,-1
9/1,23204,1
9/1,23205,1
9/1,23205,1
9/1,23205,1
9/1,23205,1
9/1,23206,2
9/1,23206,2
9/1,23207,0
9/1,23207,0
9/1,23208,3
9/1,23208,3
9/1,23209,1
9/1,23210,2
9/2,23211,1
9/2,23211,1
9/2,23211,1
9/2,23211,1
9/2,23212,1
9/2,23213,3
9/2,23214,0
9/2,23215,1
9/2,23216,1
9/2,23216,1
9/2,23217,2
9/2,23218,1
9/2,23219,7
9/2,23220,3
9/2,23221,4
10/,23222,1
10/,23222,1
10/,23223,1
10/,23224,0
10/,23225,1
10/,23226,0
10/,23227,0
10/1,23228,2
10/1,23228,2
10/1,23229,1
10/1,23230,1
10/1,23231,1
10/1,23232,1
10/1,23233,0
10/2,23234,0
10/2,23235,5
10/2,23235,5
10/2,23236,1
10/2,23237,0
10/2,23237,0
10/2,23238,2
10/2,23238,2
10/2,23239,2
10/2,23239,2
10/2,23240,1
10/2,23241,1
10/2,23242,21
10/3,23243,1
10/3,23244,2
10/3,23244,2
10/3,23245,1
10/3,23246,1
10/3,23247,106
10/3,23248,1
10/3,23249,2
11/,23250,1
11/,23251,0
11/,23251,0
11/,23252,1
11/,23252,1
11/,23253,104
11/,23254,0
11/,23255,3
11/,23256,0
11/,23257,1
11/,23258,1
11/1,23259,3
11/1,23260,1
11/1,23261,1
11/1,23262,1
11/1,23263,1
11/1,23264,1
11/1,23265,0
11/1,23266,0
11/2,23267,1
11/2,23268,0
11/2,23269,1
11/2,23270,5
11/2,23271,7
11/2,23272,7
11/2,23272,7
11/2,23273,7
11/2,23274,2
11/2,23274,2
11/2,23274,2
11/2,23275,3
11/2,23276,1
11/2,23277,0
12/,23278,3
12/,23279,0
12/,23280,2
12/,23281,2
12/,23282,5
12/,23282,5
12/,23282,5
12/,23282,5
12/,23283,1
12/1,23284,3
12/1,23285,1
12/1,23286,0
12/1,23287,2
12/1,23288,0
12/1,23289,1
12/1,23290,1
12/1,23291,2
12/1,23292,2
12/1,23293,1
12/1,23294,1
12/1,23295,4
12/2,23296,0
12/2,23297,0
12/2,23298,1
12/2,23299,1
12/2,23300,1
12/2,23301,1
12/2,23302,1
12/2,23303,1
12/2,23304,1
12/2,23305,4
1/,23306,0
1/,23307,0
1/,23308,0
1/,23309,0
1/,23310,0
1/,23311,1
1/,23312,6
1/,23313,5
1/,23314,1
1/,23314,1
1/,23314,1
1/1,23315,0
1/1,23316,3
1/1,23316,3
1/1,23316,3
1/1,23317,1
1/1,23318,1
1/1,23318,1
1/1,23318,1
1/1,23318,1
1/1,23318,1
1/1,23319,5
1/1,23320,1
1/1,23321,2
1/1,23322,0
1/2,24001,6
1/2,24001,5
1/2,24002,1
1/2,24003,50
1/2,24004,1
1/2,24005,0
1/2,24006,4
1/2,24007,4
1/2,24008,1
1/2,24009,1
1/3,24010,9
1/3,24011,1
1/3,24012,1
1/3,24013,1
1/3,24013,1
1/3,24014,5
1/3,24014,5
2/,24015,0
2/,24016,1
2/,24017,1
2/,24017,1
2/,24018,87
2/,24019,1
2/,24020,1
2/,24020,1
2/,24021,1
2/,24022,0
2/,24023,0
2/,24024,0
2/,24025,4
2/,24026,4
2/,24027,3
2/,24028,0
2/1,24029,0
2/1,24030,1
2/1,24031,0
2/1,24032,1
2/1,24033,2
2/1,24034,1
2/1,24035,1
2/1,24036,1
2/1,24037,3
2/2,24038,0
2/2,24038,0
2/2,24039,4
2/2,24039,4
2/2,24040,4
2/2,24041,39
2/2,24042,1
2/2,24043,2
2/2,24044,1
3/,24045,4
3/,24046,0
3/,24047,5
3/,24048,5
3/,24049,5
3/,24050,0
3/,24051,4
3/,24051,4
3/1,24052,0
3/1,24053,0
3/1,24054,1
3/1,24055,1
3/1,24056,1
3/1,24057,0
3/1,24058,1
3/1,24059,3
3/1,24060,1
